,south_asia,est_eu_balcan,mid_est_n_africa,subsahra_africa,latin_america,east_pacific,EU_USA,Global_score,happiness_score
dystopia + residual,-0.546772582199868,-0.0388224913727011,0.5177138172690182,-0.6270432565071183,0.1692780981679833,0.6185016889592277,0.39562455092446575,0.09773918004641007,0.0
generosity,-0.12284830804572174,-0.12968431174032607,0.2745521575901537,-0.2927081397516944,-0.012113481120133954,0.05397582352080046,0.26165451333844514,0.06003556662644054,0.0
log_gdp_per_capita,-0.11079688223423788,0.4485376464765055,0.5523150581148721,0.26551170932056506,0.07815489380234909,0.05510229710267013,0.3153481906106101,0.39014899418594484,0.0
wages_20_%,-0.021341427046964144,0.324379245949645,0.4512162399669697,0.3577263582379241,0.15193098535606606,0.09962855516139123,0.43404681276191254,0.0,0.6650877870212725
pop_20,0.0034901163900242587,-0.10643023208746415,-0.1989411536007826,-0.14337677024902817,-0.15074383758402252,-0.24805054065114784,-0.17725510264059047,0.0,-0.13295189195844917
social_support,0.015976527390403866,0.1087111621320594,0.2937849836227964,0.21478602483028103,0.20771310714618613,0.4238069009204499,0.6975192221839247,0.47022616566099357,0.0
parl_seats_20,0.06598445829955082,0.4774583850934269,0.44575598291050494,0.6917288838781968,0.6039000219419982,0.8347707047503101,0.6350129096044856,0.0,0.34880360106688807
labour_force_20,0.27340167985494307,0.31288022858998693,0.7792300345590102,0.31523319213554263,0.04330600799648688,0.15448457796314266,0.7247516801057399,0.6002292472407472,0.2112165968358273
perceptions_of_corruption,0.2746381757331027,-0.2121804502962031,0.22473732165197838,0.33316043703252135,0.09346154076222699,0.4901028815178777,0.5014183423607337,0.36868911345971084,0.0
healthy_life_expectancy,0.4257434379665975,0.360351575779749,0.7565177427929389,0.40369542338901165,0.3835148521361497,0.0036077949951816993,0.16900073255139272,0.4551189141440917,0.0
freedom_to_make_life_choices,0.8062789809567509,-0.12945045611064848,0.31235303531194086,0.31674848383279086,0.17395891748281303,0.3712788806738177,0.534879607547778,0.47093852322074087,0.0
E_O_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607648441862442
P_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3954161530603372
E_score,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4483456019088738
